timestep_time;edge_id;lane_id;vehicle_id;vehicle_pos;vehicle_speed
0.00;1to2;1to2_0;v_0;5.10;0.00
1.00;1to2;1to2_0;v_0;7.70;2.60
2.00;1to2;1to2_0;v_0;12.49;4.79
3.00;1to2;1to2_0;v_0;18.96;6.47
4.00;1to2;1to2_0;v_0;27.18;8.22
5.00;1to2;1to2_0;v_0;37.11;9.93
6.00;1to2;1to2_0;v_0;48.41;11.30
7.00;1to2;1to2_0;v_0;61.93;13.51
8.00;1to2;1to2_0;v_0;75.64;13.71
9.00;1to2;1to2_0;v_0;90.26;14.62
10.00;out;out_0;v_0;4.01;13.84
11.00;out;out_0;v_0;17.88;13.87
12.00;out;out_0;v_0;31.91;14.03
13.00;out;out_0;v_0;46.12;14.21
14.00;out;out_0;v_0;59.83;13.71
15.00;out;out_0;v_0;73.55;13.72
16.00;out;out_0;v_0;87.76;14.21
17.00;;;;;
